team,season,goals,goals_conceded,Goal_Difference
Wolverhampton Wanderers,2011-2012,40,82,-42
Manchester United,2012-2013,86,43,43
Chelsea,2012-2013,75,39,36
Arsenal,2012-2013,72,37,35
Manchester City,2012-2013,66,34,32
Liverpool,2012-2013,71,43,28
Tottenham Hotspur,2012-2013,66,46,20
Everton,2012-2013,55,40,15
West Bromwich Albion,2012-2013,53,57,-4
Swansea City,2012-2013,47,51,-4
West Ham United,2012-2013,45,53,-8
Fulham,2012-2013,50,60,-10
Stoke City,2012-2013,34,45,-11
Southampton,2012-2013,49,60,-11
Sunderland,2012-2013,41,54,-13
Norwich City,2012-2013,41,58,-17
Aston Villa,2012-2013,47,69,-22
Newcastle United,2012-2013,45,68,-23
Wigan Athletic,2012-2013,47,73,-26
Reading,2012-2013,43,73,-30
Queens Park Rangers,2012-2013,30,60,-30
Manchester City,2013-2014,102,37,65
Liverpool,2013-2014,101,50,51
Chelsea,2013-2014,71,27,44
Arsenal,2013-2014,68,41,27
Everton,2013-2014,61,39,22
Manchester United,2013-2014,64,43,21
Southampton,2013-2014,54,46,8
Tottenham Hotspur,2013-2014,55,51,4
Swansea City,2013-2014,54,54,0
Stoke City,2013-2014,45,52,-7
West Ham United,2013-2014,40,51,-11
Crystal Palace,2013-2014,33,48,-15
Hull City,2013-2014,38,53,-15
Newcastle United,2013-2014,43,59,-16
West Bromwich Albion,2013-2014,43,59,-16
Sunderland,2013-2014,41,60,-19
Aston Villa,2013-2014,39,61,-22
Norwich City,2013-2014,28,62,-34
Cardiff City,2013-2014,32,74,-42
Fulham,2013-2014,40,85,-45
Manchester City,2014-2015,83,38,45
Chelsea,2014-2015,73,32,41
Arsenal,2014-2015,71,36,35
Manchester United,2014-2015,62,37,25
Southampton,2014-2015,54,33,21
Tottenham Hotspur,2014-2015,58,53,5
Liverpool,2014-2015,52,48,4
Stoke City,2014-2015,48,45,3
Everton,2014-2015,48,50,-2
Swansea City,2014-2015,46,49,-3
West Ham United,2014-2015,44,47,-3
Crystal Palace,2014-2015,47,51,-4
Leicester City,2014-2015,46,55,-9
West Bromwich Albion,2014-2015,38,51,-13
Hull City,2014-2015,33,51,-18
Sunderland,2014-2015,31,53,-22
Newcastle United,2014-2015,40,63,-23
Burnley,2014-2015,28,53,-25
Aston Villa,2014-2015,31,57,-26
Queens Park Rangers,2014-2015,42,73,-31
Tottenham Hotspur,2015-2016,69,35,34
Leicester City,2015-2016,68,36,32
Manchester City,2015-2016,71,41,30
Arsenal,2015-2016,65,36,29
Southampton,2015-2016,59,41,18
Manchester United,2015-2016,49,35,14
West Ham United,2015-2016,65,51,14
Liverpool,2015-2016,63,50,13
Chelsea,2015-2016,59,53,6
Everton,2015-2016,59,55,4
Swansea City,2015-2016,42,52,-10
Watford,2015-2016,40,50,-10
Crystal Palace,2015-2016,39,51,-12
Stoke City,2015-2016,41,55,-14
West Bromwich Albion,2015-2016,34,48,-14
Sunderland,2015-2016,48,62,-14
Newcastle United,2015-2016,44,65,-21
AFC Bournemouth,2015-2016,45,67,-22
Norwich City,2015-2016,39,67,-28
Aston Villa,2015-2016,27,76,-49
Tottenham Hotspur,2016-2017,86,26,60
Chelsea,2016-2017,85,33,52
Manchester City,2016-2017,80,39,41
Liverpool,2016-2017,78,42,36
Arsenal,2016-2017,77,44,33
Manchester United,2016-2017,54,29,25
Everton,2016-2017,62,44,18
Southampton,2016-2017,41,48,-7
West Bromwich Albion,2016-2017,43,51,-8
AFC Bournemouth,2016-2017,55,67,-12
Crystal Palace,2016-2017,50,63,-13
Leicester City,2016-2017,48,63,-15
Stoke City,2016-2017,41,56,-15
Burnley,2016-2017,39,55,-16
West Ham United,2016-2017,47,64,-17
Swansea City,2016-2017,45,70,-25
Middlesbrough,2016-2017,27,53,-26
Watford,2016-2017,40,68,-28
Sunderland,2016-2017,29,69,-40
Hull City,2016-2017,37,80,-43
Manchester City,2017-2018,106,27,79
Liverpool,2017-2018,84,38,46
Manchester United,2017-2018,68,28,40
Tottenham Hotspur,2017-2018,74,36,38
